pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CH,2019-09-28,82,2.635,5.5313,Hyun-Jin Ryu,572073,547943,strikeout,swinging_strike,,14,Joey Rickard strikes out swinging.  ,R,R,L,SF,LAD,S,2,null,1,2,2019,1.4102,0.4857,1.4963,1.7262,null,null,664041,2,7,Bot,null,null,431145,190928_215940,-5.3065,-119.3431,-2.9924,14.4966,23.0132,-27.1714,3.0952,1.4087,null,null,null,82.109,1319,6.358,566550,547943,431145,501896,666158,571970,608369,621035,571771,592626,54.142,null,null,0,1,0,0,null,52,4,Changeup,0,2,0,2,2,0,0,2,Infield shift,Standard
CH,2019-09-28,82.4,2.6012,5.541,Hyun-Jin Ryu,572073,547943,null,ball,,12,null,R,R,L,SF,LAD,B,null,null,0,2,2019,1.1267,0.3957,1.3805,2.4572,null,null,664041,2,7,Bot,null,null,431145,190928_215918,-5.02,-120.0856,-1.331,11.9653,21.5966,-28.2355,3.1616,1.4566,null,null,null,83.274,1485,6.627,566550,547943,431145,501896,666158,571970,608369,621035,571771,592626,53.8729,null,null,null,null,null,null,null,52,3,Changeup,0,2,0,2,2,0,0,2,Infield shift,Standard
FF,2019-09-28,87.8,2.3144,5.8095,Hyun-Jin Ryu,572073,547943,null,foul,,1,null,R,R,L,SF,LAD,S,null,null,0,1,2019,0.5719,0.8008,-0.6186,3.0571,null,null,664041,2,7,Bot,null,null,431145,190928_215844,-8.2817,-127.7068,-2.2425,7.8488,23.9851,-23.1372,3.1472,1.4288,6,78.3,-28.9,88.144,2017,6.332,566550,547943,431145,501896,666158,571970,608369,621035,571771,592626,54.1671,null,null,null,null,null,null,null,52,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shift,Standard
CH,2019-09-28,80.3,2.5657,5.5542,Hyun-Jin Ryu,572073,547943,null,foul_bunt,,12,null,R,R,L,SF,LAD,S,null,null,0,0,2019,0.9483,1.1965,0.2453,3.2932,null,null,664041,2,7,Bot,null,null,431145,190928_215815,-6.9368,-116.8164,-0.5553,10.0073,22.6843,-21.361,3.0644,1.3438,null,null,null,80.267,1790,6.351,566550,547943,431145,501896,666158,571970,608369,621035,571771,592626,54.148,null,null,null,null,null,null,null,52,1,Changeup,0,2,0,2,2,0,0,2,Infield shift,Standard
FC,2019-09-28,86.7,2.2796,5.8082,Hyun-Jin Ryu,664041,547943,single,hit_into_play_no_out,,8,Jaylin Davis singles on a ground ball to shortstop Corey Seager.  ,R,R,L,SF,LAD,X,6,ground_ball,0,0,2019,-0.0986,0.6843,-0.1969,2.0086,null,null,null,2,7,Bot,106.26,148.16,431145,190928_215732,-5.6963,-126.2683,-4.3536,-0.0872,21.4655,-24.3029,3.5901,1.7971,14,106.8,-7.9,86.937,2095,6.027,566550,547943,431145,501896,666158,571970,608369,621035,571771,592626,54.4724,0.353,0.323,0.9,1,1,0,2,51,1,Cutter,0,2,0,2,2,0,0,2,Standard,Standard
FF,2019-09-28,89.9,2.3626,5.6899,Hyun-Jin Ryu,596103,547943,field_out,hit_into_play,,11,"Austin Slater grounds out, third baseman Max Muncy to first baseman David Freese.  ",R,R,L,SF,LAD,X,5,ground_ball,1,1,2019,0.6606,1.1245,-0.934,2.7778,null,null,null,1,7,Bot,98.64,165.43,431145,190928_215650,-9.5614,-130.6642,-3.6689,9.4022,24.247,-18.6982,3.4426,1.719,32,86.4,-2.3,90.303,2038,6.334,566550,547943,431145,501896,666158,571970,608369,621035,571771,592626,54.1651,0.216,0.218,0,1,0,0,2,50,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Strategic
CH,2019-09-28,78.4,2.6122,5.5923,Hyun-Jin Ryu,596103,547943,null,called_strike,,3,null,R,R,L,SF,LAD,S,null,null,1,0,2019,0.7796,0.4949,0.5839,2.9285,null,null,null,1,7,Bot,null,null,431145,190928_215631,-5.827,-114.0248,0.1864,7.8685,20.8778,-28.1045,3.3697,1.6467,null,null,null,78.463,1527,6.353,566550,547943,431145,501896,666158,571970,608369,621035,571771,592626,54.1469,null,null,null,null,null,null,null,50,2,Changeup,0,2,0,2,2,0,0,2,Standard,Strategic
FF,2019-09-28,88.5,2.3288,5.69,Hyun-Jin Ryu,596103,547943,null,ball,,11,null,R,R,L,SF,LAD,B,null,null,0,0,2019,0.6936,1.2471,-1.4089,3.3576,null,null,null,1,7,Bot,null,null,431145,190928_215611,-10.5506,-128.5017,-2.2092,9.8103,25.6896,-18.0927,3.2896,1.5405,null,null,null,88.524,2054,6.345,566550,547943,431145,501896,666158,571970,608369,621035,571771,592626,54.1546,null,null,null,null,null,null,null,50,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Strategic
CH,2019-09-28,79.9,2.6234,5.6409,Hyun-Jin Ryu,607680,547943,field_out,hit_into_play,,6,Kevin Pillar pops out to shortstop Corey Seager.  ,R,R,L,SF,LAD,X,6,popup,0,0,2019,0.9519,0.7253,0.4852,2.2634,null,null,null,0,7,Bot,117.57,154.46,431145,190928_215540,-6.5253,-116.2291,-2.0838,9.8793,21.8231,-25.3988,3.2169,1.5283,113,73.7,66.4,80.101,1594,6.45,566550,547943,431145,501896,666158,571970,608369,621035,571771,592626,54.0496,0.005,0.003,0,1,0,0,3,49,1,Changeup,0,2,0,2,2,0,0,2,Infield shift,Standard
CH,2019-09-28,82.7,2.6336,5.4848,Hyun-Jin Ryu,446334,547943,field_out,hit_into_play,,9,Evan Longoria lines out to second baseman Gavin Lux.  ,R,R,L,SF,LAD,X,4,line_drive,1,1,2019,1.3723,0.5546,0.8088,1.9,null,null,null,2,6,Bot,112.64,139.57,431145,190928_214626,-6.9074,-120.3144,-2.7558,14.8094,24.2405,-26.4038,3.6,1.69,154,81.3,12.1,83.072,1672,6.636,566550,547943,431145,571970,666158,607461,608369,621035,571771,592626,53.8635,0.597,0.552,0,1,0,0,4,45,3,Changeup,0,2,0,2,2,0,0,2,Infield shift,Standard
FF,2019-09-28,90.4,2.3339,5.7192,Hyun-Jin Ryu,446334,547943,null,ball,,12,null,R,R,L,SF,LAD,B,null,null,0,1,2019,0.7364,1.2638,0.269,5.4234,null,null,null,2,6,Bot,null,null,431145,190928_214607,-6.7622,-131.5437,2.5194,10.0628,28.5154,-18.1749,3.6317,1.6905,null,null,null,90.77,2082,6.565,566550,547943,431145,571970,666158,607461,608369,621035,571771,592626,53.9343,null,null,null,null,null,null,null,45,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shift,Standard
FT,2019-09-28,92.3,2.4929,5.6523,Hyun-Jin Ryu,446334,547943,null,called_strike,,9,null,R,R,L,SF,LAD,S,null,null,0,0,2019,1.2522,0.7748,0.3516,2.1271,null,null,null,2,6,Bot,null,null,431145,190928_214551,-8.1708,-134.1355,-4.8103,16.89,29.3972,-21.9942,3.6675,1.6353,null,null,null,92.239,2096,6.355,566550,547943,431145,571970,666158,607461,608369,621035,571771,592626,54.1446,null,null,null,null,null,null,null,45,1,2-Seam Fastball,0,2,0,2,2,0,0,2,Infield shift,Standard
FF,2019-09-28,92.5,2.3344,5.6282,Hyun-Jin Ryu,457763,547943,field_out,hit_into_play,,4,"Buster Posey grounds out, shortstop Corey Seager to first baseman Max Muncy.  ",R,R,L,SF,LAD,X,6,ground_ball,2,2,2019,0.7426,0.9434,-0.5014,2.8202,null,null,null,1,6,Bot,107.98,157.98,431145,190928_214517,-8.9128,-134.5326,-3.4835,10.9258,26.7171,-20.0343,3.6,1.69,8,88.1,-18.2,93.32,2091,6.613,566550,547943,431145,571970,666158,607461,608369,621035,571771,592626,53.8863,0.124,0.129,0,1,0,0,2,44,5,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Strategic
FC,2019-09-28,87.6,2.291,5.7786,Hyun-Jin Ryu,457763,547943,null,foul_tip,,1,null,R,R,L,SF,LAD,S,null,null,2,1,2019,-0.3252,0.5477,-0.4501,3.3452,null,null,null,1,6,Bot,null,null,431145,190928_214452,-5.9454,-127.6376,-0.9952,-2.6071,20.9064,-26.1591,3.3253,1.5316,null,null,null,88.196,2147,6.139,566550,547943,431145,571970,666158,607461,608369,621035,571771,592626,54.3602,null,null,null,null,null,null,null,44,4,Cutter,0,2,0,2,2,0,0,2,Standard,Strategic
FC,2019-09-28,86.3,2.3857,5.8327,Hyun-Jin Ryu,457763,547943,null,ball,,11,null,R,R,L,SF,LAD,B,null,null,1,1,2019,-0.2958,0.5495,-0.6796,4.0046,null,null,null,1,6,Bot,null,null,431145,190928_214435,-6.693,-125.7489,0.6273,-2.0986,20.1153,-26.5619,3.3975,1.6004,null,null,null,87.009,2168,6.199,566550,547943,431145,571970,666158,607461,608369,621035,571771,592626,54.3005,null,null,null,null,null,null,null,44,3,Cutter,0,2,0,2,2,0,0,2,Standard,Strategic
CU,2019-09-28,73.4,2.2311,5.9025,Hyun-Jin Ryu,457763,547943,null,called_strike,,12,null,R,R,L,SF,LAD,S,null,null,1,0,2019,-1.2744,-1.0937,0.9918,3.2526,null,null,null,1,6,Bot,null,null,431145,190928_214419,-0.3614,-106.6073,3.7944,-9.3447,19.4329,-41.2131,3.3481,1.464,null,null,null,72.121,2667,5.552,566550,547943,431145,571970,666158,607461,608369,621035,571771,592626,54.9474,null,null,null,null,null,null,null,44,2,Curveball,0,2,0,2,2,0,0,2,Standard,Strategic
